"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 06- 17","39,592.00","39,315.00","39,648.00","39,230.00","0.03K","0.58%"
"2024- 06- 14","39,365.00","39,429.00","39,429.00","39,252.00","0.02K","1.78%"
"2024- 06- 13","38,677.00","38,735.00","38,770.00","38,436.00","0.15K","-0.19%"
"2024- 06- 12","38,752.00","38,773.00","39,193.00","38,658.00","0.00K","-0.11%"
"2024- 06- 11","38,794.00","38,898.00","38,932.00","38,481.00","3.14K","-0.35%"
"2024- 06- 10","38,929.00","38,852.00","38,945.00","38,719.00","0.00K","0.19%"
"2024- 06- 07","38,857.00","38,955.00","39,174.00","38,716.00","0.04K","-0.25%"
"2024- 06- 06","38,955.00","38,884.00","39,092.00","38,808.00","148.12K","0.18%"
"2024- 06- 05","38,884.00","38,801.00","38,937.00","38,628.00","0.01K","0.25%"
"2024- 06- 04","38,787.00","38,666.00","38,878.00","38,425.00","0.03K","0.34%"
"2024- 06- 03","38,656.00","38,824.00","38,919.00","38,333.00","159.33K","-0.35%"
"2024- 05- 31","38,791.00","38,225.00","38,858.00","38,139.00","0.03K","1.46%"
"2024- 05- 30","38,231.00","38,268.00","38,312.00","38,111.00","0.02K","-0.76%"
"2024- 05- 29","38,524.00","38,920.00","38,920.00","38,221.00","0.00K","-1.08%"
"2024- 05- 28","38,944.00","39,163.00","39,235.00","38,787.00","0.01K","-0.60%"
"2024- 05- 27","39,180.00","39,120.00","39,231.00","39,095.00","21.05K","0.16%"
"2024- 05- 26","39,119.00","39,163.00","39,169.00","39,109.00","1.00K","-0.10%"
"2024- 05- 24","39,157.00","39,143.00","39,315.00","39,105.00","108.40K","0.01%"
"2024- 05- 23","39,153.00","39,730.00","39,882.00","39,114.00","193.14K","-1.58%"
"2024- 05- 22","39,783.00","39,992.00","40,033.00","39,668.00","125.63K","-0.56%"
"2024- 05- 21","40,006.00","39,946.00","40,034.00","39,907.00","0.00K","0.16%"
"2024- 05- 20","39,944.00","40,133.00","40,213.00","39,919.00","107.16K","-0.47%"
"2024- 05- 18","40,134.00","40,134.00","40,134.00","40,134.00","","-0.01%"
"2024- 05- 17","40,137.00","39,995.00","40,147.00","39,955.00","89.43K","0.32%"
"2024- 05- 16","40,010.00","40,016.00","40,191.00","39,979.00","120.77K","-0.07%"
"2024- 05- 15","40,039.00","39,680.00","40,063.00","39,652.00","0.00K","0.91%"
"2024- 05- 14","39,677.00","39,542.00","39,736.00","39,405.00","109.44K","0.30%"
"2024- 05- 13","39,559.00","39,620.00","39,781.00","39,519.00","85.73K","-0.15%"
"2024- 05- 11","39,618.00","39,618.00","39,618.00","39,618.00","","-0.06%"
"2024- 05- 10","39,642.00","39,562.00","39,718.00","39,531.00","98.77K","0.27%"
"2024- 05- 09","39,536.00","39,198.00","39,592.00","39,086.00","105.73K","0.87%"
"2024- 05- 08","39,195.00","39,016.00","39,236.00","38,936.00","91.39K","0.43%"
"2024- 05- 07","39,027.00","38,985.00","39,127.00","38,976.00","79.87K","0.08%"
"2024- 05- 06","38,997.00","38,920.00","39,028.00","38,834.00","77.49K","0.33%"
"2024- 05- 04","38,869.00","38,869.00","38,869.00","38,869.00","","0.10%"
"2024- 05- 03","38,832.00","38,642.00","38,958.00","38,584.00","148.52K","1.17%"
"2024- 05- 02","38,382.00","38,126.00","38,643.00","38,037.00","0.00K","0.82%"
"2024- 05- 01","38,069.00","37,923.00","38,527.00","37,866.00","174.07K","0.20%"
"2024- 04- 30","37,993.00","38,576.00","38,576.00","37,925.00","","-1.47%"
"2024- 04- 29","38,559.00","38,490.00","38,593.00","38,392.00","","0.31%"
"2024- 04- 26","38,441.00","38,343.00","38,535.00","38,242.00","","0.40%"
"2024- 04- 25","38,288.00","38,577.00","38,637.00","37,944.00","","-1.01%"
"2024- 04- 24","38,680.00","38,749.00","38,801.00","38,520.00","","-0.12%"
"2024- 04- 23","38,726.00","38,507.00","38,789.00","38,431.00","0.00K","0.67%"
"2024- 04- 22","38,468.00","38,271.00","38,682.00","38,208.00","0.00K","0.68%"
"2024- 04- 19","38,208.00","38,008.00","38,344.00","37,463.00","0.00K","0.53%"
"2024- 04- 18","38,007.00","37,987.00","38,317.00","37,900.00","","0.04%"
"2024- 04- 17","37,990.00","38,080.00","38,257.00","37,842.00","0.00K","-0.15%"
"2024- 04- 16","38,046.00","37,993.00","38,284.00","37,838.00","","0.14%"
"2024- 04- 15","37,993.00","38,150.00","38,637.00","37,911.00","0.00K","-0.64%"
"2024- 04- 12","38,238.00","38,756.00","38,836.00","38,132.00","0.00K","-1.28%"
"2024- 04- 11","38,732.00","38,716.00","38,880.00","38,472.00","0.00K","-0.06%"
"2024- 04- 10","38,757.00","39,220.00","39,345.00","38,590.00","0.00K","-1.12%"
"2024- 04- 09","39,196.00","39,248.00","39,307.00","38,873.00","","-0.06%"
"2024- 04- 08","39,219.00","39,280.00","39,344.00","39,117.00","","-0.01%"
"2024- 04- 05","39,223.00","38,921.00","39,369.00","38,864.00","","0.79%"
"2024- 04- 04","38,916.00","39,501.00","39,759.00","38,876.00","","-1.43%"
"2024- 04- 03","39,482.00","39,512.00","39,634.00","39,345.00","","-0.07%"
"2024- 04- 02","39,508.00","39,789.00","39,805.00","39,368.00","","-0.97%"
"2024- 04- 01","39,894.00","40,158.00","40,358.00","39,709.00","","-0.70%"
"2024- 03- 28","40,176.00","40,140.00","40,240.00","40,086.00","","0.08%"
"2024- 03- 27","40,144.00","39,754.00","40,181.00","39,742.00","","1.17%"
"2024- 03- 26","39,680.00","39,711.00","39,822.00","39,657.00","","-0.05%"
"2024- 03- 25","39,699.00","39,848.00","39,853.00","39,681.00","0.00K","-0.42%"
"2024- 03- 22","39,868.00","40,231.00","40,267.00","39,820.00","","-0.84%"
"2024- 03- 21","40,206.00","39,980.00","40,316.00","39,948.00","0.00K","0.67%"
"2024- 03- 20","39,940.00","39,545.00","39,988.00","39,425.00","0.00K","1.01%"
"2024- 03- 19","39,539.00","39,239.00","39,556.00","39,115.00","","0.81%"
"2024- 03- 18","39,223.00","39,139.00","39,337.00","39,089.00","","1.37%"
"2024- 03- 15","38,691.18","38,892.00","38,994.00","38,702.00","","-0.57%"
"2024- 03- 14","38,913.00","39,090.00","39,244.00","38,704.00","","-0.39%"
"2024- 03- 13","39,067.00","39,023.00","39,227.00","38,950.00","0.00K","0.09%"
"2024- 03- 12","39,032.00","38,821.00","39,095.00","38,653.00","","0.61%"
"2024- 03- 11","38,797.00","38,797.00","38,822.00","38,499.00","","0.11%"
"2024- 03- 08","38,756.00","38,847.00","39,008.00","38,630.00","","-0.18%"
"2024- 03- 07","38,826.00","38,706.00","38,944.00","38,548.00","0.00K","0.31%"
"2024- 03- 06","38,706.00","38,617.00","38,901.00","38,584.00","","0.26%"
"2024- 03- 05","38,607.00","38,995.00","38,995.00","38,478.00","","-1.06%"
"2024- 03- 04","39,022.00","39,114.00","39,125.00","38,906.00","","-0.31%"
"2024- 03- 01","39,142.00","39,019.00","39,172.00","38,892.00","","0.25%"
"2024- 02- 29","39,043.00","38,911.00","39,123.00","38,837.00","","0.13%"
"2024- 02- 28","38,993.00","38,988.00","39,002.00","38,789.00","","-0.06%"
"2024- 02- 27","39,016.00","39,097.00","39,154.00","38,911.00","","-0.26%"
"2024- 02- 26","39,116.00","39,187.00","39,290.00","39,070.00","","-0.19%"
"2024- 02- 23","39,189.00","39,102.00","39,343.00","39,087.00","","0.17%"
"2024- 02- 22","39,123.00","38,636.00","39,214.00","38,633.00","","1.15%"
"2024- 02- 21","38,677.00","38,677.00","38,749.00","38,400.00","","0.09%"
"2024- 02- 20","38,642.00","38,658.00","38,747.00","38,523.00","","-0.14%"
"2024- 02- 16","38,697.00","38,858.00","38,909.00","38,653.00","","-0.41%"
"2024- 02- 15","38,858.00","38,490.00","38,866.00","38,455.00","","0.95%"
"2024- 02- 14","38,494.00","38,337.00","38,526.00","38,255.00","","0.42%"
"2024- 02- 13","38,333.00","38,863.00","38,897.00","38,095.00","","-1.42%"
"2024- 02- 12","38,884.00","38,713.00","39,012.00","38,679.00","","0.35%"
"2024- 02- 09","38,748.00","38,795.00","38,979.00","38,645.00","","-0.20%"
"2024- 02- 08","38,824.00","38,789.00","38,847.00","38,627.00","","0.13%"
"2024- 02- 07","38,774.00","38,591.00","38,843.00","38,546.00","","0.42%"
"2024- 02- 06","38,613.00","38,451.00","38,633.00","38,367.00","","0.38%"
"2024- 02- 05","38,466.00","38,753.00","38,797.00","38,310.00","","-0.77%"
"2024- 02- 02","38,765.00","38,598.00","38,892.00","38,433.00","","0.36%"
"2024- 02- 01","38,625.00","38,288.00","38,661.00","38,212.00","","0.90%"
"2024- 01- 31","38,280.00","38,568.00","38,720.00","38,247.00","","-0.86%"
"2024- 01- 30","38,612.00","38,432.00","38,644.00","38,386.00","","0.32%"
"2024- 01- 29","38,488.00","38,209.00","38,498.00","38,157.00","","0.60%"
"2024- 01- 26","38,258.00","38,159.00","38,374.00","38,050.00","","0.13%"
"2024- 01- 25","38,210.00","38,056.00","38,219.00","37,911.00","","0.61%"
"2024- 01- 24","37,979.00","38,103.00","38,253.00","37,950.00","","-0.29%"
"2024- 01- 23","38,089.00","38,196.00","38,209.00","37,976.00","","-0.29%"
"2024- 01- 22","38,199.00","38,048.00","38,302.00","38,048.00","","0.40%"
"2024- 01- 19","38,045.00","37,645.00","38,133.00","37,597.00","","1.02%"
"2024- 01- 18","37,659.00","37,453.00","37,708.00","37,303.00","","0.54%"
"2024- 01- 17","37,458.00","37,541.00","37,559.00","37,315.00","","-0.25%"
"2024- 01- 16","37,553.00","37,737.00","37,830.00","37,388.00","","-0.63%"
"2024- 01- 12","37,792.00","37,900.00","38,031.00","37,651.00","","-0.36%"
"2024- 01- 11","37,927.00","37,921.00","38,038.00","37,627.00","","-0.02%"
"2024- 01- 10","37,936.00","37,743.00","37,984.00","37,698.00","","0.46%"
"2024- 01- 09","37,763.00","37,899.00","37,902.00","37,607.00","","-0.45%"
"2024- 01- 08","37,933.00","37,674.00","37,946.00","37,470.00","","0.57%"
"2024- 01- 05","37,719.00","37,751.00","37,882.00","37,504.00","","0.01%"
"2024- 01- 04","37,715.00","37,714.00","37,985.00","37,699.00","","0.05%"
"2024- 01- 03","37,697.00","38,001.00","38,014.00","37,664.00","","-0.78%"
"2024- 01- 02","37,993.00","37,982.00","38,113.00","37,758.00","","-0.05%"
"2023- 12- 29","38,012.00","38,028.00","38,089.00","37,841.00","","-0.04%"
"2023- 12- 28","38,029.00","38,010.00","38,089.00","37,925.00","","0.06%"
"2023- 12- 27","38,006.00","37,914.00","38,026.00","37,818.00","0.00K","0.30%"
"2023- 12- 26","37,894.00","37,694.00","37,962.00","37,693.00","","0.41%"
"2023- 12- 22","37,740.00","37,701.00","37,878.00","37,585.00","","-0.04%"
"2023- 12- 21","37,756.00","37,467.00","37,765.00","37,462.00","","0.83%"
"2023- 12- 20","37,445.00","37,918.00","38,012.00","37,390.00","","-1.28%"
"2023- 12- 19","37,931.00","37,662.00","37,940.00","37,637.00","","0.67%"
"2023- 12- 18","37,678.00","37,660.00","37,772.00","37,646.00","","1.84%"
"2023- 12- 15","36,996.45","37,252.00","37,438.00","37,202.00","","-0.72%"
"2023- 12- 14","37,265.00","37,123.00","37,320.00","37,056.00","","0.41%"
"2023- 12- 13","37,111.00","36,620.00","37,153.00","36,552.00","41.52K","1.40%"
"2023- 12- 12","36,598.00","36,433.00","36,660.00","36,390.00","71.51K","0.44%"
"2023- 12- 11","36,438.00","36,296.00","36,453.00","36,244.00","72.79K","0.42%"
"2023- 12- 09","36,284.00","36,284.00","36,284.00","36,284.00","","0.01%"
"2023- 12- 08","36,280.00","36,147.00","36,335.00","36,006.00","131.65K","0.32%"
"2023- 12- 07","36,166.00","36,112.00","36,210.00","36,021.00","115.32K","0.15%"
"2023- 12- 06","36,112.00","36,172.00","36,352.00","36,076.00","132.91K","-0.21%"
"2023- 12- 05","36,189.00","36,249.00","36,249.00","36,066.00","151.78K","-0.22%"
"2023- 12- 04","36,268.00","36,318.00","36,332.00","36,093.00","154.84K","-0.16%"
"2023- 12- 02","36,327.00","36,327.00","36,327.00","36,327.00","","0.07%"
"2023- 12- 01","36,303.00","35,986.00","36,338.00","35,963.00","160.64K","0.81%"
"2023- 11- 30","36,010.00","35,583.00","36,027.00","35,563.00","173.51K","1.47%"
"2023- 11- 29","35,488.00","35,447.00","35,641.00","35,447.00","143.80K","0.12%"
"2023- 11- 28","35,445.00","35,373.00","35,548.00","35,319.00","119.10K","0.20%"
"2023- 11- 27","35,373.00","35,428.00","35,456.00","35,315.00","99.66K","-0.16%"
"2023- 11- 24","35,430.00","35,312.00","35,440.00","35,281.00","84.10K","0.22%"
"2023- 11- 23","35,351.00","35,289.00","35,389.00","35,281.00","30.72K","0.09%"
"2023- 11- 22","35,318.00","35,141.00","35,360.00","35,119.00","113.37K","0.48%"
"2023- 11- 21","35,148.00","35,232.00","35,247.00","35,096.00","89.15K","-0.22%"
"2023- 11- 20","35,225.00","34,978.00","35,292.00","34,962.00","103.05K","0.68%"
"2023- 11- 18","34,987.00","34,987.00","34,987.00","34,987.00","","-0.07%"
"2023- 11- 17","35,012.00","35,051.00","35,168.00","34,944.00","116.81K","-0.02%"
"2023- 11- 16","35,019.00","35,045.00","35,091.00","34,879.00","149.54K","-0.09%"
"2023- 11- 15","35,050.00","34,924.00","35,103.00","34,898.00","143.75K","0.47%"
"2023- 11- 14","34,887.00","34,385.00","34,984.00","34,334.00","158.88K","1.46%"
"2023- 11- 13","34,385.00","34,299.00","34,461.00","34,203.00","108.07K","0.14%"
"2023- 11- 10","34,338.00","33,980.00","34,373.00","33,913.00","148.24K","1.16%"
"2023- 11- 09","33,944.00","34,159.00","34,283.00","33,915.00","158.26K","-0.67%"
"2023- 11- 08","34,173.00","34,232.00","34,315.00","34,052.00","118.36K","-0.12%"
"2023- 11- 07","34,215.00","34,132.00","34,268.00","34,031.00","113.60K","0.15%"
"2023- 11- 06","34,164.00","34,170.00","34,230.00","34,051.00","112.89K","0.08%"
"2023- 11- 03","34,137.00","33,889.00","34,232.00","33,885.00","149.46K","0.66%"
"2023- 11- 02","33,914.00","33,358.00","33,934.00","33,338.00","187.25K","1.69%"
"2023- 11- 01","33,351.00","33,087.00","33,418.00","32,990.00","195.52K","0.65%"
"2023- 10- 31","33,135.00","33,025.00","33,220.00","32,868.00","189.65K","0.36%"
"2023- 10- 30","33,017.00","32,542.00","33,094.00","32,506.00","206.16K","1.58%"
"2023- 10- 27","32,504.00","32,927.00","33,008.00","32,409.00","235.22K","-1.13%"
"2023- 10- 26","32,876.00","33,161.00","33,204.00","32,832.00","246.58K","-0.83%"
"2023- 10- 25","33,150.00","33,345.00","33,389.00","33,098.00","229.83K","-0.36%"
"2023- 10- 24","33,269.00","33,130.00","33,420.00","33,055.00","205.76K","0.61%"
"2023- 10- 23","33,067.00","33,299.00","33,366.00","33,013.00","201.98K","-0.57%"
"2023- 10- 20","33,258.00","33,530.00","33,559.00","33,220.00","196.25K","-0.86%"
"2023- 10- 19","33,547.00","33,828.00","33,990.00","33,492.00","286.55K","-0.77%"
"2023- 10- 18","33,806.00","34,120.00","34,147.00","33,738.00","214.22K","-0.99%"
"2023- 10- 17","34,144.00","34,173.00","34,305.00","33,966.00","199.59K","0.03%"
"2023- 10- 16","34,134.00","33,810.00","34,254.00","33,810.00","160.40K","0.91%"
"2023- 10- 13","33,827.00","33,786.00","34,123.00","33,707.00","231.27K","0.09%"
"2023- 10- 12","33,796.00","34,046.00","34,153.00","33,617.00","179.97K","-0.58%"
"2023- 10- 11","33,992.00","33,929.00","34,078.00","33,799.00","147.30K","0.17%"
"2023- 10- 10","33,936.00","33,800.00","34,092.00","33,776.00","169.53K","0.40%"
"2023- 10- 09","33,801.00","33,477.00","33,834.00","33,298.00","173.48K","0.60%"
"2023- 10- 06","33,600.00","33,291.00","33,756.00","33,032.00","250.29K","0.89%"
