﻿일,유종,WTI
09월 04일,,69.20
09월 05일,,69.15
09월 06일,,67.67
09월 09일,,68.71
09월 10일,,65.75
09월 11일,,67.31
09월 12일,,68.97
09월 13일,,68.65
09월 16일,,70.09
09월 17일,,71.19
09월 18일,,70.91
09월 19일,,71.95
09월 20일,,71.92
09월 23일,,70.37
09월 24일,,71.56
09월 25일,,69.69
09월 26일,,67.67
09월 27일,,68.18
09월 30일,,68.17
10월 01일,,69.83
10월 02일,,70.10
10월 03일,,73.71
10월 04일,,74.38
10월 07일,,77.14
10월 08일,,73.57
10월 09일,,73.24
10월 10일,,75.85
10월 11일,,75.56
10월 14일,,73.83
10월 15일,,70.58
10월 16일,,70.39
10월 17일,,70.67
10월 18일,,69.22
10월 21일,,70.56
10월 22일,,72.09
10월 23일,,70.77
10월 24일,,70.19
10월 25일,,71.78
10월 28일,,67.38
10월 29일,,67.21
10월 30일,,68.61
10월 31일,,69.26
11월 01일,,69.49
11월 04일,,71.47
11월 05일,,71.99
11월 06일,,71.69
11월 07일,,72.36
11월 08일,,70.38
11월 11일,,68.04
11월 12일,,68.12
11월 13일,,68.43
11월 14일,,68.70
11월 15일,,67.02
11월 18일,,69.16
11월 19일,,69.39
11월 20일,,68.87
11월 21일,,70.10
11월 22일,,71.24
11월 25일,,68.94
11월 26일,,68.77
11월 27일,,68.72
11월 29일,,68.00
12월 02일,,68.10
12월 03일,,69.94
12월 04일,,68.54
12월 05일,,68.30
12월 06일,,67.20
12월 09일,,68.37
12월 10일,,68.59
12월 11일,,70.29
전일비,,1.70
전주비,,1.75
전월동일비,,2.25
전년동일비,,-1.03
평균,,77.24
