Date,Closing_Price,Change,Fluctuation_Rate,Opening_Price,High,Low,Volume,Trading_Value,Market_Cap
2023-04-20,2563.11,-11.97,-0.46,2566.06,2573.94,2552.06,951423,12415524.0,2026470351.0
2023-04-21,2544.4,-18.71,-0.73,2556.7,2559.44,2532.32,970398,12614673.0,2012374092.0
2023-04-24,2523.5,-20.9,-0.82,2538.36,2541.89,2518.73,927191,11589467.0,1996621732.0
2023-04-25,2489.02,-34.48,-1.37,2531.35,2531.35,2472.33,886422,13681150.0,1967147727.0
2023-04-26,2484.83,-4.19,-0.17,2489.49,2498.56,2481.38,1089216,12397514.0,1964553908.0
2023-04-27,2495.81,10.98,0.44,2484.31,2499.01,2465.83,733500,11142115.0,1974101090.0
2023-04-28,2501.53,5.72,0.23,2511.79,2517.13,2489.58,777535,14024831.0,1979839469.0
2023-05-02,2524.39,22.86,0.91,2504.01,2524.42,2503.21,701399,9942387.0,1997496493.0
2023-05-03,2501.4,-22.99,-0.91,2510.19,2514.37,2497.83,889609,9865861.0,1979410345.0
2023-05-04,2500.94,-0.46,-0.02,2494.82,2502.14,2486.09,810178,10020006.0,1978572080.0
2023-05-08,2513.21,12.27,0.49,2518.53,2525.84,2511.13,655536,9213044.0,1989045053.0
2023-05-09,2510.06,-3.15,-0.13,2512.34,2514.81,2495.63,751647,9351367.0,1986578324.0
2023-05-10,2496.51,-13.55,-0.54,2505.96,2510.13,2488.42,635635,8906697.0,1976264333.0
2023-05-11,2491.0,-5.51,-0.22,2505.57,2513.82,2490.08,648134,9002407.0,1971727645.0
2023-05-12,2475.42,-15.58,-0.63,2487.35,2487.35,2472.45,798230,8589238.0,1959471273.0
2023-05-15,2479.35,3.93,0.16,2469.8,2479.35,2455.99,484565,6920285.0,1962067054.0
2023-05-16,2480.24,0.89,0.04,2494.4,2498.54,2474.9,628744,8086956.0,1963631010.0
2023-05-17,2494.66,14.42,0.58,2479.65,2498.37,2475.02,564412,7218306.0,1975030171.0
2023-05-18,2515.4,20.74,0.83,2511.09,2515.4,2500.01,572765,7782864.0,1992171060.0
2023-05-19,2537.79,22.39,0.89,2530.83,2538.31,2524.89,570097,9199949.0,2010735983.0
2023-05-22,2557.08,19.29,0.76,2540.03,2564.09,2533.5,593620,8214575.0,2025540377.0
2023-05-23,2567.55,10.47,0.41,2565.8,2577.32,2561.1,576045,7443353.0,2033435646.0
2023-05-24,2567.45,-0.1,0.0,2557.11,2572.21,2555.04,1072440,7900596.0,2032739545.0
2023-05-25,2554.69,-12.76,-0.5,2570.64,2575.05,2551.49,917553,9416539.0,2022841850.0
2023-05-26,2558.81,4.12,0.16,2561.94,2567.5,2553.79,634759,9401899.0,2027393064.0
2023-05-30,2585.52,26.71,1.04,2582.41,2586.22,2574.82,641647,11066254.0,2048101559.0
2023-05-31,2577.12,-8.4,-0.32,2586.03,2596.31,2575.98,686187,15135111.0,2039961430.0
2023-06-01,2569.17,-7.95,-0.31,2572.56,2580.15,2565.0,675233,9168502.0,2034185276.0
2023-06-02,2601.36,32.19,1.25,2586.27,2601.38,2583.88,569620,9383535.0,2059938046.0
2023-06-05,2615.41,14.05,0.54,2617.43,2618.62,2608.01,545880,8566307.0,2070761232.0
2023-06-07,2615.6,0.19,0.01,2623.46,2629.92,2613.68,537617,10152915.0,2070757365.0
2023-06-08,2610.85,-4.75,-0.18,2609.21,2612.39,2595.33,581325,11473710.0,2067265952.0
