일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
2024-06-10,2701.17,-21.5,-0.79,2698.71,2718.89,2689.19,506892,1.1327687E7,2.203848895E9
2024-06-07,2722.67,33.17,1.23,2718.25,2729.63,2705.23,783871,1.246527E7,2.221091056E9
2024-06-05,2689.5,27.4,1.03,2681.11,2697.43,2667.63,881481,1.3624988E7,2.19482232E9
2024-06-04,2662.1,-20.42,-0.76,2668.73,2679.47,2659.43,773460,1.2649033E7,2.171834477E9
2024-06-03,2682.52,46,1.74,2657.81,2690.73,2657.81,782329,1.3995552E7,2.188764088E9
2024-05-31,2636.52,1.08,0.04,2657.87,2664.48,2635.77,613718,1.6353907E7,2.151017465E9
2024-05-30,2635.44,-41.86,-1.56,2666.63,2666.63,2635.44,372742,1.1132063E7,2.150594912E9
2024-05-29,2677.3,-45.55,-1.67,2719.56,2721.63,2677.07,438981,1.3076461E7,2.184383957E9
2024-05-28,2722.85,-0.14,-0.01,2715.52,2730.12,2714.34,440957,1.1586996E7,2.221981776E9
2024-05-27,2722.99,35.39,1.32,2697.16,2725.08,2693.66,556710,1.5847768E7,2.222058046E9
2024-05-24,2687.6,-34.21,-1.26,2693.65,2696.99,2681.17,501639,1.2363445E7,2.193712334E9
2024-05-23,2721.81,-1.65,-0.06,2719.03,2734.27,2704,428079,1.1449262E7,2.222186906E9
2024-05-22,2723.46,-0.72,-0.03,2723.46,2733.07,2707.87,484724,1.237851E7,2.223391188E9
2024-05-21,2724.18,-17.96,-0.65,2733.03,2734.48,2719.74,560819,1.0490361E7,2.22336754E9
2024-05-20,2742.14,17.52,0.64,2741.24,2756.41,2734.64,582071,1.2502254E7,2.237911832E9
2024-05-17,2724.62,-28.38,-1.03,2751.47,2752.17,2724.62,575936,1.1008339E7,2.223763414E9
2024-05-16,2753,22.66,0.83,2770.27,2773.46,2748.22,521841,1.3253186E7,2.246492513E9
2024-05-14,2730.34,3.13,0.11,2732.98,2735.82,2722.74,443296,9491100,2.228236341E9
2024-05-13,2727.21,-0.42,-0.02,2735.2,2738.38,2713.92,625278,1.305466E7,2.226373173E9
2024-05-10,2727.63,15.49,0.57,2737.95,2743.58,2723.21,586133,1.1566879E7,2.226624819E9
2024-05-09,2712.14,-32.91,-1.2,2743.29,2749.14,2710.25,423811,1.1102793E7,2.216794076E9
2024-05-08,2745.05,10.69,0.39,2732.11,2745.05,2727.93,436315,1.0293633E7,2.243933671E9
2024-05-07,2734.36,57.73,2.16,2718.17,2734.36,2716.62,532203,1.1153672E7,2.228259503E9
2024-05-03,2676.63,-7.02,-0.26,2704.31,2705.26,2676.63,338612,7850447,2.180854242E9
2024-05-02,2683.65,-8.41,-0.31,2679.04,2692.47,2678.84,351087,9059053,2.18687685E9
2024-04-30,2692.06,4.62,0.17,2693.22,2710.23,2687.29,460084,1.134713E7,2.193843858E9
2024-04-29,2687.44,31.11,1.17,2675.46,2687.44,2665.21,470546,1.0491388E7,2.189691726E9
2024-04-26,2656.33,27.71,1.05,2650.94,2662.1,2641.35,450521,1.0148866E7,2.164477451E9
2024-04-25,2628.62,-47.13,-1.76,2646.8,2656.51,2628.62,334062,8987959,2.142440795E9
2024-04-24,2675.75,52.73,2.01,2662.84,2677.85,2662.84,325740,1.0227695E7,2.18062913E9
2024-04-23,2623.02,-6.42,-0.24,2632.15,2641.78,2619.72,430276,9948338,2.137640963E9
2024-04-22,2629.44,37.58,1.45,2615.72,2629.44,2604.37,401892,1.1021071E7,2.143157216E9
2024-04-19,2591.86,-42.84,-1.63,2600.69,2609.9,2553.55,809473,1.4044807E7,2.113960518E9
2024-04-18,2634.7,50.52,1.95,2595.46,2642.03,2593.26,478786,1.057108E7,2.148591607E9
2024-04-17,2584.18,-25.45,-0.98,2619.15,2626.63,2584.18,414348,9779318,2.108636206E9
2024-04-16,2609.63,-60.8,-2.28,2644.17,2647.6,2601.45,570212,1.2257739E7,2.129095534E9
2024-04-15,2670.43,-11.39,-0.42,2661.36,2673.26,2641.16,561950,1.0506647E7,2.179146669E9
2024-04-12,2681.82,-25.14,-0.93,2710.89,2712.45,2678.21,514575,1.1903471E7,2.18919173E9
2024-04-11,2706.96,1.8,0.07,2665.4,2718.07,2661.92,561333,1.2789893E7,2.209845127E9
2024-04-09,2705.16,-12.49,-0.46,2733.23,2741.23,2703.96,470184,1.0037705E7,2.207593683E9
2024-04-08,2717.65,3.44,0.13,2718.76,2725.58,2706.74,620653,1.0560913E7,2.218358194E9
2024-04-05,2714.21,-27.79,-1.01,2713.96,2730.47,2705.31,621031,1.1293864E7,2.215451533E9
2024-04-04,2742,35.03,1.29,2738.24,2746.39,2727.1,477953,1.1978194E7,2.238039851E9
2024-04-03,2706.97,-46.19,-1.68,2730.68,2732.29,2706.97,640806,1.325704E7,2.209038427E9
2024-04-02,2753.16,5.3,0.19,2744.15,2760.33,2737.19,630393,1.3116888E7,2.247045532E9
2024-04-01,2747.86,1.23,0.04,2766.24,2769.87,2747.4,397601,1.0066835E7,2.241082878E9
2024-03-29,2746.63,0.81,0.03,2757.27,2757.55,2739.12,495496,1.1190103E7,2.240537708E9
2024-03-28,2745.82,-9.29,-0.34,2753.22,2756.86,2742.68,419278,1.1925009E7,2.23956171E9
